Text;Size
venido;19
continuó;19
país;19
querido;19
aquellos;19
abrió;19
mar;19
seguir;19
viene;19
luces;19
pensó;19
iré;19
campo;19
asunto;19
largas;19
deseo;19
vi;19
apareció;19
lengua;19
glorfindel;19
realmente;19
ustedes;19
necesario;18
caballos;18
boca;18
época;18
justo;18
extendía;18
decía;18
dicen;18
preguntas;18
vado;18
habitación;18
partida;18
extrañas;18
pensar;18
nuestra;18
marcha;18
mordor;18
regalo;18
sacó;17
alzó;17
trolls;17
porque;17
oscuros;17
sentido;17
puedes;17
general;17
esperar;17
mismos;17
ancho;17
sentía;17
huéspedes;17
acerca;17
habló;17
distancia;17
volver;17
lobelia;17
aspecto;17
extraña;17
vieja;17
cascos;17
alegre;17
viajeros;17
cuaderna;17
viejas;17
oí;17
pesado;17
balsadera;17
levantó;17
inmediatamente;17
vosotros;17
demás;17
tinieblas;17
único;17
orilla;17
afuera;17
adiós;17
mortal;16
cerró;16
alegría;16
cinco;16
pobre;16
especialmente;16
dedo;16
mitad;16
tratando;16
propios;16
podrían;16
primavera;16
temprano;16
creyó;16
dejaron;16
traído;16
primera;16
primero;16
peligroso;16
descubrió;16
edad;16
feliz;16
brillaba;16
escapar;16
pasó;16
subiendo;16
pared;16
grito;16
realidad;16
miraba;16
tienes;16
parientes;16
vamos;16
palabra;16
replicó;16
salir;16
subía;16
impresión;16
hombro;16
vista;16
ven;16
aliento;16
cadena;16
altos;16
costumbre;16
haré;16
tal;15
figura;15
alcanzó;15
modos;15
ahí;15
pueda;15
blanca;15
medida;15
pasaron;15
azul;15
parecido;15
gritos;15
corrió;15
pensaba;15
esperaba;15
agradable;15
vivían;15
oyeron;15
negras;15
punto;15
fácil;15
eres;15
grises;15
ocurrió;15
piernas;15
desaparecido;15
pasos;15
hogar;15
hoy;15
perros;15
va;15
charla;15
entró;15
cebadilla;15
raro;15
montaña;15
familias;15
plan;15
corriendo;15
caía;15
regalos;15
voy;15
brazo;15
hubiesen;15
oscuras;15
tuvieron;15
blancos;15
verlo;14
subió;14
misma;14
dulce;14
pregunto;14
brazos;14
salieron;14
reyes;14
pensando;14
hola;14
olvidado;14
salvajes;14
mensaje;14
venir;14
casas;14
últimos;14
vuelto;14
risa;14
sombrero;14
sombrío;14
bill;14
importante;14
habitantes;14
respuesta;14
canto;14
entender;14
brillantes;14
noches;14
pasto;14
cabellos;14
verdadero;14
descendía;14
nombres;14
supongo;14
bruma;14
peregrin;14
buenos;14
manera;14
semejante;14
efecto;14
dije;14
rara;14
aquel;14
señal;14
golpe;14
tomar;14
blancas;14
podido;14
bajó;14
dol;14
conozco;14
escuchando;14
lados;14
siguió;14
hicieron;14
dragón;13
decidido;13
seguido;13
cuarto;13
leyendas;13
fondo;13
chimenea;13
mucha;13
partieron;13
lejanos;13
paredes;13
llamas;13
subieron;13
ganas;13
delagua;13
cruzar;13
pudiera;13
carta;13
conmigo;13
pasaba;13
cavada;13
dientes;13
varias;13
sentó;13
caras;13
tampoco;13
carga;13
laderas;13
empezó;13
sentaron;13
extraños;13
decían;13
herida;13
pálida;13
pálido;13
matorrales;13
flores;13
elrond;13
arte;13
tenido;13
diré;13
enorme;13
brandi;13
enemigos;13
consejo;13
haciendo;13
común;13
caminar;13
pensamientos;12
crepúsculo;12
estamos;12
antiguos;12
diría;12
antigua;12
evidente;12
hablaban;12
mirar;12
caída;12
par;12
siguieron;12
puesto;12
bajando;12
sentados;12
aquellas;12
ayuda;12
cuanto;12
propio;12
rincón;12
troll;12
vivir;12
jóvenes;12
caliente;12
lugares;12
llevaban;12
descubrieron;12
sentían;12
ruta;12
lamento;12
techo;12
fuertes;12
negra;12
unico;12
recuerdo;12
largos;12
lirios;12
ah;12
humo;12
forma;12
barranca;12
formas;12
siento;12
llamada;12
podríamos;12
reino;11
dijeron;11
círculo;11
orillas;11
dinero;11
cruzando;11
amo;11
pájaros;11
dormir;11
tornasauce;11
bestias;11
mostró;11
gamoburgo;11
bajas;11
ladera;11
llaman;11
cantando;11
peor;11
entrar;11
nieblas;11
caído;11
tanta;11
busca;11
propósito;11
pude;11
niños;11
llevando;11
color;11
sauron;11
esté;11
acercó;11
velas;11
varios;11
recta;11
diciendo;11
importantes;11
cierta;11
destino;11
según;11
vienen;11
brillaban;11
muerto;11
pequeño;11
déagol;11
ropas;11
pasar;11
debajo;11
fresca;11
espaldas;11
